model,epoch,train_loss,train_accuracy,val_loss,val_accuracy
MLP,1,0.6028419558842977,0.7843666666666667,0.4284987445354462,0.844
MLP,2,0.4223486893335978,0.8448,0.394996706867218,0.8572
MLP,3,0.3810307597796122,0.8602,0.37265516090393064,0.862
MLP,4,0.3533341047445933,0.8691666666666666,0.3966114491462708,0.86
MLP,5,0.33736384528477986,0.8761666666666666,0.37243057737350466,0.8682
MLP,6,0.3191416828393936,0.8816666666666667,0.37780990171432494,0.8618
MLP,7,0.30905587369600934,0.8842,0.3423670222759247,0.876
MLP,8,0.2931043633302053,0.8908,0.35729488983154295,0.8728
MLP,9,0.2862756280740102,0.8946333333333333,0.33357150983810424,0.8794
MLP,10,0.27158947447141013,0.8980333333333334,0.3435017520904541,0.8816
MLP,11,0.26538888530731203,0.9008,0.3345446774482727,0.883
MLP,12,0.2578614681084951,0.9022333333333333,0.3480219026565552,0.8728
MLP,13,0.2545437011877696,0.9031333333333333,0.3587845851898193,0.88
MLP,14,0.24277614183425902,0.908,0.34624579849243164,0.879
MLP,15,0.23930438669522602,0.9107333333333333,0.35990707683563233,0.8772
SmallCNN,1,0.6708387573242187,0.7590333333333333,0.4345686359882355,0.8446
SmallCNN,2,0.41879092308680216,0.8500333333333333,0.37726423654556274,0.8644
SmallCNN,3,0.36335839654604596,0.8688666666666667,0.33899338388442996,0.8768
SmallCNN,4,0.3262573777278264,0.8809666666666667,0.3157004902839661,0.884
SmallCNN,5,0.30349914855957033,0.8892666666666666,0.30493925795555116,0.8932
SmallCNN,6,0.2848953173438708,0.8955,0.29922473187446597,0.889
SmallCNN,7,0.26686856815020243,0.9019,0.3008144288539886,0.8946
SmallCNN,8,0.25479177983601886,0.9055666666666666,0.2768947633266449,0.8964
SmallCNN,9,0.2355708086649577,0.9128333333333334,0.2649775413990021,0.9022
SmallCNN,10,0.2208672652721405,0.9170666666666667,0.2678021587371826,0.904
SmallCNN,11,0.21513118721644084,0.92,0.26999292750358583,0.903
SmallCNN,12,0.20296350936889648,0.9239,0.273162161397934,0.9042
SmallCNN,13,0.1962674286286036,0.9249,0.263078022480011,0.9078
SmallCNN,14,0.1844938228448232,0.9311,0.2581632364988327,0.9094
SmallCNN,15,0.17181419005393983,0.9349666666666666,0.26349506833553316,0.908
SmallCNN_Aug,1,0.8731630469322205,0.6741,0.5283343411445618,0.806
SmallCNN_Aug,2,0.630316652170817,0.7601333333333333,0.4749359577178955,0.83
SmallCNN_Aug,3,0.5695688177108764,0.7838,0.43473095211982726,0.8324
SmallCNN_Aug,4,0.5243762345472972,0.8002333333333334,0.4256476421356201,0.8408
SmallCNN_Aug,5,0.4978073670387268,0.8125666666666667,0.3836343460559845,0.8616
SmallCNN_Aug,6,0.4716583001454671,0.8239666666666666,0.3859887961626053,0.861
SmallCNN_Aug,7,0.45426102673212687,0.8286333333333333,0.3543878967285156,0.8704
SmallCNN_Aug,8,0.4383600696881612,0.8345333333333333,0.3444070860862732,0.8736
SmallCNN_Aug,9,0.4197516573270162,0.8434,0.3266152881383896,0.877
SmallCNN_Aug,10,0.4136873473962148,0.8444333333333334,0.328442272233963,0.8812
SmallCNN_Aug,11,0.3990648921648661,0.8492,0.30650815505981444,0.8894
SmallCNN_Aug,12,0.39023351435661313,0.8559333333333333,0.316278733253479,0.8824
SmallCNN_Aug,13,0.38236096053123475,0.8547,0.29959407453536985,0.8864
SmallCNN_Aug,14,0.3790526935418447,0.8587,0.30948132498264314,0.8838
SmallCNN_Aug,15,0.366748136027654,0.8631,0.2976740034341812,0.8916
